colour	key	showSelectedlegendcolour	clickSelects	fill	group
#C49A00	Kazakhstan	Europe & Central Asia (all income levels)	Kazakhstan	#C49A00	108
#F8766D	Lao PDR	East Asia & Pacific (all income levels)	Lao PDR	#F8766D	109
#00C094	Lebanon	Middle East & North Africa (all income levels)	Lebanon	#00C094	110
#53B400	St. Lucia	Latin America & Caribbean (all income levels)	St. Lucia	#53B400	111
#C49A00	Liechtenstein	Europe & Central Asia (all income levels)	Liechtenstein	#C49A00	112
#A58AFF	Sri Lanka	South Asia	Sri Lanka	#A58AFF	113
#FB61D7	Liberia	Sub-Saharan Africa (all income levels)	Liberia	#FB61D7	114
#FB61D7	Lesotho	Sub-Saharan Africa (all income levels)	Lesotho	#FB61D7	115
#C49A00	Lithuania	Europe & Central Asia (all income levels)	Lithuania	#C49A00	116
#C49A00	Luxembourg	Europe & Central Asia (all income levels)	Luxembourg	#C49A00	117
#C49A00	Latvia	Europe & Central Asia (all income levels)	Latvia	#C49A00	118
#00C094	Libya	Middle East & North Africa (all income levels)	Libya	#00C094	119
#00C094	Morocco	Middle East & North Africa (all income levels)	Morocco	#00C094	120
#C49A00	Monaco	Europe & Central Asia (all income levels)	Monaco	#C49A00	121
#C49A00	Moldova	Europe & Central Asia (all income levels)	Moldova	#C49A00	122
#C49A00	Montenegro	Europe & Central Asia (all income levels)	Montenegro	#C49A00	123
#53B400	St. Martin (French part)	Latin America & Caribbean (all income levels)	St. Martin (French part)	#53B400	124
#FB61D7	Madagascar	Sub-Saharan Africa (all income levels)	Madagascar	#FB61D7	125
#F8766D	Marshall Islands	East Asia & Pacific (all income levels)	Marshall Islands	#F8766D	126
#C49A00	Macedonia, FYR	Europe & Central Asia (all income levels)	Macedonia, FYR	#C49A00	127
#FB61D7	Mali	Sub-Saharan Africa (all income levels)	Mali	#FB61D7	128
#F8766D	Myanmar	East Asia & Pacific (all income levels)	Myanmar	#F8766D	129
#F8766D	Mongolia	East Asia & Pacific (all income levels)	Mongolia	#F8766D	130
#F8766D	Macao SAR, China	East Asia & Pacific (all income levels)	Macao SAR, China	#F8766D	131
#F8766D	Northern Mariana Islands	East Asia & Pacific (all income levels)	Northern Mariana Islands	#F8766D	132
#FB61D7	Mauritania	Sub-Saharan Africa (all income levels)	Mauritania	#FB61D7	133
#00C094	Malta	Middle East & North Africa (all income levels)	Malta	#00C094	134
#FB61D7	Mauritius	Sub-Saharan Africa (all income levels)	Mauritius	#FB61D7	135
#A58AFF	Maldives	South Asia	Maldives	#A58AFF	136
#FB61D7	Malawi	Sub-Saharan Africa (all income levels)	Malawi	#FB61D7	137
#53B400	Mexico	Latin America & Caribbean (all income levels)	Mexico	#53B400	138
#F8766D	Malaysia	East Asia & Pacific (all income levels)	Malaysia	#F8766D	139
#FB61D7	Mozambique	Sub-Saharan Africa (all income levels)	Mozambique	#FB61D7	140
#FB61D7	Namibia	Sub-Saharan Africa (all income levels)	Namibia	#FB61D7	141
#F8766D	New Caledonia	East Asia & Pacific (all income levels)	New Caledonia	#F8766D	142
#FB61D7	Niger	Sub-Saharan Africa (all income levels)	Niger	#FB61D7	143
#FB61D7	Nigeria	Sub-Saharan Africa (all income levels)	Nigeria	#FB61D7	144
#53B400	Nicaragua	Latin America & Caribbean (all income levels)	Nicaragua	#53B400	145
#C49A00	Netherlands	Europe & Central Asia (all income levels)	Netherlands	#C49A00	146
#C49A00	Norway	Europe & Central Asia (all income levels)	Norway	#C49A00	147
#A58AFF	Nepal	South Asia	Nepal	#A58AFF	148
#F8766D	New Zealand	East Asia & Pacific (all income levels)	New Zealand	#F8766D	149
#00C094	Oman	Middle East & North Africa (all income levels)	Oman	#00C094	150
#53B400	Panama	Latin America & Caribbean (all income levels)	Panama	#53B400	151
#53B400	Peru	Latin America & Caribbean (all income levels)	Peru	#53B400	152
#F8766D	French Polynesia	East Asia & Pacific (all income levels)	French Polynesia	#F8766D	153
#F8766D	Papua New Guinea	East Asia & Pacific (all income levels)	Papua New Guinea	#F8766D	154
#F8766D	Philippines	East Asia & Pacific (all income levels)	Philippines	#F8766D	155
#A58AFF	Pakistan	South Asia	Pakistan	#A58AFF	156
#C49A00	Poland	Europe & Central Asia (all income levels)	Poland	#C49A00	157
#53B400	Puerto Rico	Latin America & Caribbean (all income levels)	Puerto Rico	#53B400	158
#00C094	West Bank and Gaza	Middle East & North Africa (all income levels)	West Bank and Gaza	#00C094	159
#C49A00	Portugal	Europe & Central Asia (all income levels)	Portugal	#C49A00	160
#F8766D	Palau	East Asia & Pacific (all income levels)	Palau	#F8766D	161
#53B400	Paraguay	Latin America & Caribbean (all income levels)	Paraguay	#53B400	162
#00C094	Qatar	Middle East & North Africa (all income levels)	Qatar	#00C094	163
#C49A00	Romania	Europe & Central Asia (all income levels)	Romania	#C49A00	164
#C49A00	Serbia	Europe & Central Asia (all income levels)	Serbia	#C49A00	165
#C49A00	Russian Federation	Europe & Central Asia (all income levels)	Russian Federation	#C49A00	166
#FB61D7	Rwanda	Sub-Saharan Africa (all income levels)	Rwanda	#FB61D7	167
#00C094	Saudi Arabia	Middle East & North Africa (all income levels)	Saudi Arabia	#00C094	168
#F8766D	Solomon Islands	East Asia & Pacific (all income levels)	Solomon Islands	#F8766D	169
#FB61D7	Seychelles	Sub-Saharan Africa (all income levels)	Seychelles	#FB61D7	170
#FB61D7	Sudan	Sub-Saharan Africa (all income levels)	Sudan	#FB61D7	171
#C49A00	Sweden	Europe & Central Asia (all income levels)	Sweden	#C49A00	172
#F8766D	Singapore	East Asia & Pacific (all income levels)	Singapore	#F8766D	173
#C49A00	Slovenia	Europe & Central Asia (all income levels)	Slovenia	#C49A00	174
#C49A00	Slovak Republic	Europe & Central Asia (all income levels)	Slovak Republic	#C49A00	175
#FB61D7	Sierra Leone	Sub-Saharan Africa (all income levels)	Sierra Leone	#FB61D7	176
#C49A00	San Marino	Europe & Central Asia (all income levels)	San Marino	#C49A00	177
#FB61D7	Senegal	Sub-Saharan Africa (all income levels)	Senegal	#FB61D7	178
#FB61D7	Somalia	Sub-Saharan Africa (all income levels)	Somalia	#FB61D7	179
#53B400	Suriname	Latin America & Caribbean (all income levels)	Suriname	#53B400	180
#FB61D7	South Sudan	Sub-Saharan Africa (all income levels)	South Sudan	#FB61D7	181
#FB61D7	Sao Tome and Principe	Sub-Saharan Africa (all income levels)	Sao Tome and Principe	#FB61D7	182
#53B400	El Salvador	Latin America & Caribbean (all income levels)	El Salvador	#53B400	183
#53B400	Sint Maarten (Dutch part)	Latin America & Caribbean (all income levels)	Sint Maarten (Dutch part)	#53B400	184
#00C094	Syrian Arab Republic	Middle East & North Africa (all income levels)	Syrian Arab Republic	#00C094	185
#FB61D7	Swaziland	Sub-Saharan Africa (all income levels)	Swaziland	#FB61D7	186
#53B400	Turks and Caicos Islands	Latin America & Caribbean (all income levels)	Turks and Caicos Islands	#53B400	187
#FB61D7	Chad	Sub-Saharan Africa (all income levels)	Chad	#FB61D7	188
#FB61D7	Togo	Sub-Saharan Africa (all income levels)	Togo	#FB61D7	189
#F8766D	Thailand	East Asia & Pacific (all income levels)	Thailand	#F8766D	190
#C49A00	Tajikistan	Europe & Central Asia (all income levels)	Tajikistan	#C49A00	191
#F8766D	Timor-Leste	East Asia & Pacific (all income levels)	Timor-Leste	#F8766D	192
#C49A00	Turkmenistan	Europe & Central Asia (all income levels)	Turkmenistan	#C49A00	193
#00C094	Tunisia	Middle East & North Africa (all income levels)	Tunisia	#00C094	194
#F8766D	Tonga	East Asia & Pacific (all income levels)	Tonga	#F8766D	195
#C49A00	Turkey	Europe & Central Asia (all income levels)	Turkey	#C49A00	196
#53B400	Trinidad and Tobago	Latin America & Caribbean (all income levels)	Trinidad and Tobago	#53B400	197
#F8766D	Tuvalu	East Asia & Pacific (all income levels)	Tuvalu	#F8766D	198
#FB61D7	Tanzania	Sub-Saharan Africa (all income levels)	Tanzania	#FB61D7	199
#C49A00	Ukraine	Europe & Central Asia (all income levels)	Ukraine	#C49A00	200
#FB61D7	Uganda	Sub-Saharan Africa (all income levels)	Uganda	#FB61D7	201
#00B6EB	United States	North America	United States	#00B6EB	202
#53B400	Uruguay	Latin America & Caribbean (all income levels)	Uruguay	#53B400	203
#C49A00	Uzbekistan	Europe & Central Asia (all income levels)	Uzbekistan	#C49A00	204
#53B400	St. Vincent and the Grenadines	Latin America & Caribbean (all income levels)	St. Vincent and the Grenadines	#53B400	205
#53B400	Venezuela, RB	Latin America & Caribbean (all income levels)	Venezuela, RB	#53B400	206
#53B400	Virgin Islands (U.S.)	Latin America & Caribbean (all income levels)	Virgin Islands (U.S.)	#53B400	207
#F8766D	Vietnam	East Asia & Pacific (all income levels)	Vietnam	#F8766D	208
#F8766D	Vanuatu	East Asia & Pacific (all income levels)	Vanuatu	#F8766D	209
#F8766D	Samoa	East Asia & Pacific (all income levels)	Samoa	#F8766D	210
#00C094	Yemen, Rep.	Middle East & North Africa (all income levels)	Yemen, Rep.	#00C094	211
#FB61D7	South Africa	Sub-Saharan Africa (all income levels)	South Africa	#FB61D7	212
#FB61D7	Zambia	Sub-Saharan Africa (all income levels)	Zambia	#FB61D7	213
#FB61D7	Zimbabwe	Sub-Saharan Africa (all income levels)	Zimbabwe	#FB61D7	214
