key	label	showSelected1	group
Guinea-Bissau	Guinea-Bissau	Guinea-Bissau	77
Guyana	Guyana	Guyana	78
Hong Kong SAR, China	Hong Kong SAR, China	Hong Kong SAR, China	79
Honduras	Honduras	Honduras	80
Croatia	Croatia	Croatia	81
Haiti	Haiti	Haiti	82
Hungary	Hungary	Hungary	83
Indonesia	Indonesia	Indonesia	84
Ireland	Ireland	Ireland	85
Israel	Israel	Israel	86
Isle of Man	Isle of Man	Isle of Man	87
India	India	India	88
Iraq	Iraq	Iraq	89
Iran, Islamic Rep.	Iran, Islamic Rep.	Iran, Islamic Rep.	90
Iceland	Iceland	Iceland	91
Italy	Italy	Italy	92
Channel Islands	Channel Islands	Channel Islands	93
Jamaica	Jamaica	Jamaica	94
Jordan	Jordan	Jordan	95
Japan	Japan	Japan	96
Kenya	Kenya	Kenya	97
Kyrgyz Republic	Kyrgyz Republic	Kyrgyz Republic	98
Cambodia	Cambodia	Cambodia	99
Kiribati	Kiribati	Kiribati	100
Comoros	Comoros	Comoros	101
St. Kitts and Nevis	St. Kitts and Nevis	St. Kitts and Nevis	102
Korea, Dem. Rep.	Korea, Dem. Rep.	Korea, Dem. Rep.	103
Korea, Rep.	Korea, Rep.	Korea, Rep.	104
Kosovo	Kosovo	Kosovo	105
Kuwait	Kuwait	Kuwait	106
Cayman Islands	Cayman Islands	Cayman Islands	107
Kazakhstan	Kazakhstan	Kazakhstan	108
Lao PDR	Lao PDR	Lao PDR	109
Lebanon	Lebanon	Lebanon	110
St. Lucia	St. Lucia	St. Lucia	111
Liechtenstein	Liechtenstein	Liechtenstein	112
Sri Lanka	Sri Lanka	Sri Lanka	113
Liberia	Liberia	Liberia	114
Lesotho	Lesotho	Lesotho	115
Lithuania	Lithuania	Lithuania	116
Luxembourg	Luxembourg	Luxembourg	117
Latvia	Latvia	Latvia	118
Libya	Libya	Libya	119
Morocco	Morocco	Morocco	120
Monaco	Monaco	Monaco	121
Moldova	Moldova	Moldova	122
Montenegro	Montenegro	Montenegro	123
St. Martin (French part)	St. Martin (French part)	St. Martin (French part)	124
Madagascar	Madagascar	Madagascar	125
Marshall Islands	Marshall Islands	Marshall Islands	126
Macedonia, FYR	Macedonia, FYR	Macedonia, FYR	127
Mali	Mali	Mali	128
Myanmar	Myanmar	Myanmar	129
Mongolia	Mongolia	Mongolia	130
Macao SAR, China	Macao SAR, China	Macao SAR, China	131
Northern Mariana Islands	Northern Mariana Islands	Northern Mariana Islands	132
Mauritania	Mauritania	Mauritania	133
Malta	Malta	Malta	134
Mauritius	Mauritius	Mauritius	135
Maldives	Maldives	Maldives	136
Malawi	Malawi	Malawi	137
Mexico	Mexico	Mexico	138
Malaysia	Malaysia	Malaysia	139
Mozambique	Mozambique	Mozambique	140
Namibia	Namibia	Namibia	141
New Caledonia	New Caledonia	New Caledonia	142
Niger	Niger	Niger	143
Nigeria	Nigeria	Nigeria	144
Nicaragua	Nicaragua	Nicaragua	145
Netherlands	Netherlands	Netherlands	146
Norway	Norway	Norway	147
Nepal	Nepal	Nepal	148
New Zealand	New Zealand	New Zealand	149
Oman	Oman	Oman	150
Panama	Panama	Panama	151
Peru	Peru	Peru	152
French Polynesia	French Polynesia	French Polynesia	153
Papua New Guinea	Papua New Guinea	Papua New Guinea	154
Philippines	Philippines	Philippines	155
Pakistan	Pakistan	Pakistan	156
Poland	Poland	Poland	157
Puerto Rico	Puerto Rico	Puerto Rico	158
West Bank and Gaza	West Bank and Gaza	West Bank and Gaza	159
Portugal	Portugal	Portugal	160
Palau	Palau	Palau	161
Paraguay	Paraguay	Paraguay	162
Qatar	Qatar	Qatar	163
Romania	Romania	Romania	164
Serbia	Serbia	Serbia	165
Russian Federation	Russian Federation	Russian Federation	166
Rwanda	Rwanda	Rwanda	167
Saudi Arabia	Saudi Arabia	Saudi Arabia	168
Solomon Islands	Solomon Islands	Solomon Islands	169
Seychelles	Seychelles	Seychelles	170
Sudan	Sudan	Sudan	171
Sweden	Sweden	Sweden	172
Singapore	Singapore	Singapore	173
Slovenia	Slovenia	Slovenia	174
Slovak Republic	Slovak Republic	Slovak Republic	175
Sierra Leone	Sierra Leone	Sierra Leone	176
San Marino	San Marino	San Marino	177
Senegal	Senegal	Senegal	178
Somalia	Somalia	Somalia	179
Suriname	Suriname	Suriname	180
South Sudan	South Sudan	South Sudan	181
Sao Tome and Principe	Sao Tome and Principe	Sao Tome and Principe	182
El Salvador	El Salvador	El Salvador	183
Sint Maarten (Dutch part)	Sint Maarten (Dutch part)	Sint Maarten (Dutch part)	184
Syrian Arab Republic	Syrian Arab Republic	Syrian Arab Republic	185
Swaziland	Swaziland	Swaziland	186
Turks and Caicos Islands	Turks and Caicos Islands	Turks and Caicos Islands	187
Chad	Chad	Chad	188
Togo	Togo	Togo	189
Thailand	Thailand	Thailand	190
Tajikistan	Tajikistan	Tajikistan	191
Timor-Leste	Timor-Leste	Timor-Leste	192
Turkmenistan	Turkmenistan	Turkmenistan	193
Tunisia	Tunisia	Tunisia	194
Tonga	Tonga	Tonga	195
Turkey	Turkey	Turkey	196
Trinidad and Tobago	Trinidad and Tobago	Trinidad and Tobago	197
Tuvalu	Tuvalu	Tuvalu	198
Tanzania	Tanzania	Tanzania	199
Ukraine	Ukraine	Ukraine	200
Uganda	Uganda	Uganda	201
United States	United States	United States	202
Uruguay	Uruguay	Uruguay	203
Uzbekistan	Uzbekistan	Uzbekistan	204
St. Vincent and the Grenadines	St. Vincent and the Grenadines	St. Vincent and the Grenadines	205
Venezuela, RB	Venezuela, RB	Venezuela, RB	206
Virgin Islands (U.S.)	Virgin Islands (U.S.)	Virgin Islands (U.S.)	207
Vietnam	Vietnam	Vietnam	208
Vanuatu	Vanuatu	Vanuatu	209
Samoa	Samoa	Samoa	210
Yemen, Rep.	Yemen, Rep.	Yemen, Rep.	211
South Africa	South Africa	South Africa	212
Zambia	Zambia	Zambia	213
Zimbabwe	Zimbabwe	Zimbabwe	214
